disease_name,plant,disease,symptoms,remedy,source,has_details
Apple___Apple_Scab,Apple,Apple Scab,"Olive-green to brown circular spots on leaves, often with a velvety texture. Leaves may become twisted, puckered, and drop prematurely. Fruit develops scabby, sunken, brown spots which can crack.",Cultural: Remove and destroy fallen leaves and fruit to reduce overwintering fungus. Prune trees to improve air circulation. Chemical: Apply fungicides like Mancozeb or Myclobutanil during key growth stages.,Enhanced with additional data,True
Apple___Black_Rot,Apple,Black Rot,"Leaves: ""Frog-eye leaf spot"" with purplish borders and tan centers. Fruit: Rot begins at the blossom end, forming a black spot with concentric rings (""bull's-eye"" pattern). Fruit may mummify and remain on the tree. Branches: Sunken, reddish-brown cankers.",Cultural: Prune and destroy all dead branches and cankers. Remove all mummified fruit from the tree and orchard floor. Chemical: Traditional Indian remedy includes post-harvest treatment with linseed or mustard oil. Fungicides like Difenoconazole and Propiconazole have shown efficacy.,TNAU Agritech Portal ; University of Minnesota Extension,True
Apple___Cedar_Apple_Rust,Apple,Cedar Apple Rust,"Bright orange-yellow spots on leaves with red borders and tiny black dots. On cedar/juniper hosts: hard, brown galls with orange, gelatinous 'telial horns' in wet spring weather.",Remove nearby cedar/juniper hosts if possible. Apply fungicides like Myclobutanil when orange telial horns are visible on cedar hosts. Plant resistant varieties like 'Redfree' or 'Liberty'.,Enhanced with additional data,True
Apple___Healthy,Apple,Healthy,"Vibrant green leaves without spots or discoloration. Firm, blemish-free fruit. Strong, well-spaced branches with good air circulation.","Maintain good cultural practices: proper spacing, regular pruning, balanced fertilization, and adequate irrigation. Monitor regularly for early signs of pests or diseases.",Enhanced with additional data,True
Apple___Rust,Apple,Rust,"Bright orange-yellow spots on upper leaf surfaces. On undersides, look for small, tube-like structures. Severe infections cause premature leaf drop.",Remove nearby juniper/cedar hosts if possible. Apply fungicides in early spring. Choose resistant varieties and ensure good air circulation through proper pruning.,Enhanced with additional data,True
Bell_Pepper___Healthy,Bell Pepper,Healthy,"Glossy, deep green leaves without spots or discoloration. Firm, well-formed fruits. Strong, upright plant structure.","Practice crop rotation, use disease-free seeds, maintain proper plant spacing, and provide balanced nutrition. Use drip irrigation to keep foliage dry.",Enhanced with additional data,True
Bell_Pepper___Spot,Bell Pepper,Spot,"Small, circular, water-soaked spots on leaves that may turn brown or black. Spots may have yellow halos. Can affect both leaves and fruits.","Use disease-free seeds, practice crop rotation, remove infected plant debris, and apply copper-based fungicides. Avoid overhead watering.",Enhanced with additional data,True
Blueberry___Healthy,Blueberry,Healthy,"Dark green, waxy leaves without spots or discoloration. Firm, plump berries. Vigorous, well-branched growth.","Maintain acidic soil (pH 4.5-5.5), provide adequate moisture, mulch with pine bark or sawdust, and prune annually to encourage air circulation.",Enhanced with additional data,True
Cherry___Healthy,Cherry,Healthy,"Glossy, dark green leaves without spots or discoloration. Firm, unblemished fruits. Strong, well-structured branches.","Prune to maintain good air circulation, provide adequate water during fruit development, and monitor for pests. Apply balanced fertilizer in early spring.",Enhanced with additional data,True
Cherry___Including_Sour_Healthy,Cherry,Including Sour Healthy,"Vibrant green leaves without spots or discoloration. Firm, well-colored fruits. Strong, well-spaced branches.",Plant in well-drained soil with full sun. Prune annually to maintain shape and remove diseased wood. Water deeply during dry periods.,Enhanced with additional data,True
Cherry___Including_Sour_Powdery,Cherry,Including Sour Powdery,"White, powdery fungal growth on leaves, shoots, and sometimes fruit. Leaves may curl, twist, or become distorted. Reduced fruit set and quality.",Apply sulfur or potassium bicarbonate fungicides at first sign of disease. Prune to improve air circulation. Avoid overhead watering. Remove and destroy infected plant parts.,Enhanced with additional data,True
Corn___Blight,Corn,Blight,"Large, tan to brown elliptical lesions on leaves with yellow halos. Lesions may coalesce, causing large areas of dead tissue. Can lead to premature plant death.","Plant resistant hybrids, practice crop rotation, till under crop debris, and apply foliar fungicides if disease pressure is high.",Enhanced with additional data,True
Corn___Cercospora_Spot,Corn,Cercospora Spot,"Small, circular to oval spots with tan centers and dark brown to purple borders on leaves. Spots may coalesce, causing premature leaf death.","Use disease-free seeds, practice crop rotation, and apply fungicides if necessary. Ensure proper plant spacing for good air circulation.",Enhanced with additional data,True
